Route,Title,Local File Name,Update-Library,Media Type,Notes,,,,,,,,
/,GTMStack,GTMStackPro.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles,,,,,,,,
/expertise/account-based-marketing-abm,ABM,abm-network-dashboard.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/account-based-marketing-abm,ABM,ABM-Pipeline-Strategy.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/account-based-marketing-abm,ABM,ABM-Radar-Analysis.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/account-based-marketing-abm,ABM,ABMTileAnimation.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/content-marketing,Content Marketing,Content-Engagement-Marketing.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/content-marketing,Content Marketing,ContentMarketing.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/content-marketing,Content Marketing,Content-Marketing.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/customer-experience-cx,Customer Experience (CX),ContentMarketingAnimation.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles,,,,,,,,
/expertise/customer-marketing,Customer Marketing,ContentMarketingHero.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles,,,,,,,,
/expertise/demand-generation,Demand Generation,DemandGenerationHero.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/demand-generation,Demand Generation,DemandGenFlow.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/email-marketing,Email Marketing,EmailMarketingHero.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles,,,,,,,,
/expertise/event-marketing,Event Marketing,ExecutiveLogisticsDashboard.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles,,,,,,,,
/expertise/growth-marketing,Growth Marketing,GrowthMarketingHero.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles,,,,,,,,
/expertise/lifecycle-marketing,Lifecycle Marketing,ApexShieldLifecycleEngine.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles,,,,,,,,
/expertise/marketing-automation,Marketing Automation,Marketing-Automation-Live-Feed.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles,,,,,,,,
/expertise/marketing-operations,Marketing Operations,PipelineDashboard.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/marketing-operations,Marketing Operations,Marketing-Analytics-Carousel.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/omnichannel-marketing,Omnichannel Marketing,QuantumDashboard.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/omnichannel-marketing,Omnichannel Marketing,Omni-Analytics.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/search-engine-optimization,SEO,SEO-GrowthFlow.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/search-engine-optimization,SEO,SEOAnimation.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/video-marketing,Video Marketing,Video-Marketing-Analytics.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/expertise/video-marketing,Video Marketing,Video-Marketing-Analytics-Tile.tsx,src/data/animations.ts,animation,hero-tiles,,,,,,,,
/industries/manufacturing,Manufacturing,IndustrialDashboard.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles,,,,,,,,
/expertise/systems-operations,Systems & Operations,PlgJourneyDashboard.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles,,,,,,,,
/industries/developer-tools/,Developer Tools & DevOps,DevMarketers.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
